"HOUSEHOLD DATA ANNUAL AVERAGES 39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2016,,,,,
,Total,,Men,,Women,
,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings,Number of workers,Median weekly earnings
,,,,,,
Electrical power-line installers and repairers,126,"1,161",125,"1,165",1,Ð
Telecommunications line installers and repairers,172,850,168,824,4,Ð
Precision instrument and equipment repairers,56,910,46,Ð,10,Ð
Wind turbine service technicians,5,Ð,5,Ð,0,Ð
"Coin, vending, and amusement machine servicers and repairers",27,Ð,24,Ð,3,Ð
Commercial divers,1,Ð,1,Ð,0,Ð
Locksmiths and safe repairers,12,Ð,12,Ð,0,Ð
Manufactured building and mobile home installers,7,Ð,7,Ð,0,Ð
Riggers,11,Ð,11,Ð,0,Ð
Signal and track switch repairers,4,Ð,4,Ð,0,Ð
"Helpers--installation, maintenance, and repair workers",10,Ð,9,Ð,1,Ð
"Other installation, maintenance, and repair workers",137,773,130,782,8,Ð
,,,,,,
"Production, transportation, and material moving occupations","14,606",665,"11,661",704,"2,945",531
Production occupations,"7,513",668,"5,564",723,"1,949",527
First-line supervisors of production and operating workers,729,923,599,972,131,723
"Aircraft structure, surfaces, rigging, and systems assemblers",6,Ð,4,Ð,2,Ð
"Electrical, electronics, and electromechanical assemblers",105,590,55,618,50,554
Engine and other machine assemblers,6,Ð,6,Ð,0,Ð
Structural metal fabricators and fitters,22,Ð,22,Ð,0,Ð
